JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2026-06-19 15:28:38,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：18.0146,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C3",,47uF,1206,,Select by System,CL31A476MPHNNNE,Samsung Electro-Mechanics,1206,10V 47uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C96123,https://jlcpcb.com/partdetail/97327-CL31A476MPHNNNE/C96123,Basic,8,8 JLCPCB,1.5152
C6,,1nF,0402,,Select by Customer,GCM1555C1H102FA16D,Murata Electronics,0402,1nF 50V C0G ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C126493,https://jlcpcb.com/partdetail/137773-GCM1555C1H102FA16D/C126493,Extended,20,20 JLCPCB,0.944
"C7,C8",,15pF,0402,,Select by Customer,GRM1555C1H150GA01D,Murata Electronics,0402,15pF 50V C0G ±2% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C161531,https://jlcpcb.com/partdetail/172912-GRM1555C1H150GA01D/C161531,Extended,20,20 JLCPCB,0.112
"C10,C11,C12,C13,C14,C15,C16,C4,C9","C2,C20",100nF,0603,,Select by System,CC0603KRX7R9BB104,YAGEO,0603,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C14663,https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R9BB104/C14663,Basic,48,48 JLCPCB,0.816
"C17,C18,C5",C19,2.2uF,0805,,Select by System,CL21A225KBQNNNE,Samsung Electro-Mechanics,0805,2.2uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C377773,https://jlcpcb.com/partdetail/350246-CL21A225KBQNNNE/C377773,Basic,40,40 JLCPCB,1.168
D1,,MBR120VLSFT1G,SOD-123F_L2.8-W1.8-LS3.7-RD,,Select by System,MBR120VLSFT1G,onsemi,SOD-123FL,-65℃~+125℃ 1 Independent 1A 20V 300mV@1A 45A 600uA@20V SOD-123FL Schottky Diodes ROHS,Schottky Diodes,,C223608,https://jlcpcb.com/partdetail/onsemi-MBR120VLSFT1G/C223608,Extended,5,5 JLCPCB,0.719
L1,,2.2u,1008,,Select by Customer,APH252012C2R2MP01,APV,1008,1008 Power Inductors ROHS,,,C42455362,https://jlcpcb.com/partdetail/APV-APH252012C2R2MP01/C42455362,Extended,6,6 JLCPCB,0.1968
LED1,,XL-1608UGC-04,LED0603-RD_GREEN,,Select by System,XL-1608UGC-04,XINGLIGHT,0603,-40℃~+85℃ 120° 20mA 3.3V 515nm~535nm 525nm 70mW 810mcd Discrete Diode Emerald Green Top-mount Water Clear 0603 LED Indication - Discrete ROHS,LED Indication - Discrete,,C965804,https://jlcpcb.com/partdetail/XINGLIGHT-XL_1608UGC04/C965804,Extended,20,20 JLCPCB,0.098
Q1,,DMG1012T_C2830301,SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR,,Select by System,DMG1012T,TECH PUBLIC,SOT-523,-55℃~+150℃ 1 N-channel 1.1V 120pF 15pF 20V 20pF 280mW 300mΩ@2.5V 800mA N-Channel SOT-523 MOSFETs ROHS,MOSFETs,,C2830301,https://jlcpcb.com/partdetail/TECHPUBLIC-DMG1012T/C2830301,Extended,6,6 JLCPCB,0.225
,"R1,R2",5.1K,0603,,Unconfirmed,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 5.1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF5101T5E) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C23186,https://jlcpcb.com/partdetail/23913-0603WAF5101T5E/C23186,Basic,20,20 JLCPCB,0.036
R3,,5.6K,0603,,Unconfirmed,0603WAF5601T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 5.6kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF5601T5E) of this part does not match the one (5.6K) provided in your BOM. Please confirm;,C23189,https://jlcpcb.com/partdetail/23916-0603WAF5601T5E/C23189,Basic,20,20 JLCPCB,0.024
R4,,10K,0603,,Select by Customer,RT0603BRD0710KL,YAGEO,0603,-55℃~+155℃ 100mW 10kΩ 75V Thin Film Resistor ±0.1% ±25ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (RT0603BRD0710KL) of this part does not match the one (10K) provided in your BOM. Please confirm;,C95204,https://jlcpcb.com/partdetail/YAGEO-RT0603BRD0710KL/C95204,Extended,20,20 JLCPCB,0.478
"R5,R6,R9",,100K,0603,,Unconfirmed,0603WAF1003T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF1003T5E) of this part does not match the one (100K) provided in your BOM. Please confirm;,C25803,https://jlcpcb.com/partdetail/26546-0603WAF1003T5E/C25803,Basic,20,20 JLCPCB,0.032
R8,,200K,0805,,Unconfirmed,0805W8F2003T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 200kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F2003T5E) of this part does not match the one (200K) provided in your BOM. Please confirm;,C17539,https://jlcpcb.com/partdetail/18227-0805W8F2003T5E/C17539,Basic,20,20 JLCPCB,0.056
R10,,470,0603,,Unconfirmed,0603WAF4700T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 470Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF4700T5E) of this part does not match the one (470) provided in your BOM. Please confirm;,C23179,https://jlcpcb.com/partdetail/23906-0603WAF4700T5E/C23179,Basic,20,20 JLCPCB,0.032
"R11,R7",,1K,0603,,Unconfirmed,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF1001T5E) of this part does not match the one (1K) provided in your BOM. Please confirm;,C21190,https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190,Basic,20,20 JLCPCB,0.036
"R12,R13",,27,0603,,Unconfirmed,0603WAF270JT5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 27Ω 75V Thick Film Resistor ±1% ±200ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF270JT5E) of this part does not match the one (27) provided in your BOM. Please confirm;,C25190,https://jlcpcb.com/partdetail/25933-0603WAF270JT5E/C25190,Extended,20,20 JLCPCB,0.032
,R14,1,0402,,Select by Customer,FRC0402J1R0 TS,FOJAN,0402,-55℃~+155℃ 1Ω 50V 62.5mW Thick Film Resistor ±200ppm/℃ ±5% 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (FRC0402J1R0 TS) of this part does not match the one (1) provided in your BOM. Please confirm;,C2906901,https://jlcpcb.com/partdetail/FOJAN-FRC0402J1R0TS/C2906901,Extended,20,20 JLCPCB,0.038
,R15,200,0603,,Select by Customer,0603WAF2000T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 200Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF2000T5E) of this part does not match the one (200) provided in your BOM. Please confirm;,C8218,https://jlcpcb.com/partdetail/8708-0603WAF2000T5E/C8218,Basic,20,20 JLCPCB,0.032
SW1,,TS3425BA,SW-SMD_4P-L4.2-W3.2-P2.15-LS4.6-1,,Select by System,TS3425BA,SHOU HAN,"SMD-4P,4.2x3.2mm","-20℃~+70℃ 12V 2.5N 2.5mm 3.2mm 30,000 cycles 4.2mm 50mA J-Lead No Oval Button SPST Surface Mount,Vertical White Without Bracket SMD-4P,4.2x3.2mm Tactile Switches ROHS",Tactile Switches,,C2681476,https://jlcpcb.com/partdetail/SHOUHAN-TS3425BA/C2681476,Extended,7,7 JLCPCB,0.2632
U1,,TPS63001DRCR,VSON-10_L3.0-W3.0-P0.50-TL-EP_TPS62410DRCR,,Select by System,TPS63001DRCR,Texas Instruments,VSON-10-EP(3x3),-40℃~+85℃@(TA) 1 1.5MHz 1.8V~5.5V 3.3V 50uA Buck-Boost Buck-Boost Built-in Fixed Yes VSON-10-EP(3x3) DC-DC Converters ROHS,DC-DC Converters,,C28060,https://jlcpcb.com/partdetail/TexasInstruments-TPS63001DRCR/C28060,Extended,2,2 JLCPCB,3.5554
U2,,W25Q128JVSIQTR,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,,Select by System,W25Q128JVSIQ,Winbond Elec,SOIC-8-208mil,"-40℃~+85℃ 100,000 cycles 120ms@(32KB) 128Mbit 133MHz 1uA 2.7V~3.6V 20 Years 3ms Power-on reset、Hardware write protection、Software write protection、Write enable latch、Absolute write protection SPI SOIC-8-208mil NOR FLASH ROHS",NOR FLASH,,C97521,https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521,Basic,2,2 JLCPCB,4.8588
U3,,RP2040,LQFN-56_L7.0-W7.0-P0.4-EP,,Select by System,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,2,2 JLCPCB,1.9714
USB1,,TYPE-C16PIN2MD,USB-C-SMD_TYPE-C-16PIN-2MD-073,,Select by System,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,"-25℃~+85℃ 1 16P 3A 5,000 times 5V Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C2765186,https://jlcpcb.com/partdetail/SHOUHAN-TYPE_C_16PIN_2MD_073/C2765186,Extended,3,3 JLCPCB,0.2208
