Designator,Mid X,Mid Y,Rotation,Layer
_86,146.15,-70.54,0.0,top
_85,125.17,-80.7,0.0,top
_84,125.17,-85.78,0.0,top
_83,146.15,-116.26,0.0,top
_82,125.17,-88.32,0.0,top
_81,146.15,-106.1,0.0,top
_80,146.15,-83.24,0.0,top
_79,135.66,-120.17,0.0,top
_78,146.15,-75.62,0.0,top
_77,125.17,-93.4,0.0,top
_76,146.15,-108.64,0.0,top
_75,125.17,-118.8,0.0,top
_74,138.2,-120.17,0.0,top
_73,125.17,-111.18,0.0,top
_72,146.15,-118.8,0.0,top
_71,146.15,-101.02,0.0,top
_70,125.17,-106.1,0.0,top
_69,125.17,-108.64,0.0,top
_68,125.17,-101.02,0.0,top
_67,125.17,-95.94,0.0,top
_66,146.15,-88.32,0.0,top
_65,146.15,-85.78,0.0,top
_64,125.17,-78.16,0.0,top
_63,146.15,-80.7,0.0,top
_62,146.15,-111.18,0.0,top
_61,146.15,-98.48,0.0,top
_60,125.17,-73.08,0.0,top
_59,146.15,-78.16,0.0,top
_58,146.15,-93.4,0.0,top
_57,146.15,-103.56,0.0,top
_56,125.17,-90.86,0.0,top
_55,125.17,-113.72,0.0,top
_54,125.17,-116.26,0.0,top
_53,133.12,-120.17,0.0,top
_52,146.15,-95.94,0.0,top
_51,146.15,-113.72,0.0,top
_50,146.15,-90.86,0.0,top
_49,125.17,-70.54,0.0,top
_48,125.17,-103.56,0.0,top
_47,125.17,-75.62,0.0,top
_46,125.17,-83.24,0.0,top
_45,125.17,-98.48,0.0,top
_44,146.15,-73.08,0.0,top
_43,125.87,-98.48,0.0,bottom
_42,125.87,-88.32,0.0,bottom
_41,145.45,-78.16,0.0,bottom
_40,145.45,-88.32,0.0,bottom
_39,145.45,-93.4,0.0,bottom
_38,145.45,-70.54,0.0,bottom
_37,125.87,-83.24,0.0,bottom
_36,125.87,-90.86,0.0,bottom
_35,145.45,-83.24,0.0,bottom
_34,145.45,-90.86,0.0,bottom
_33,125.87,-78.16,0.0,bottom
_32,125.87,-108.64,0.0,bottom
_31,125.87,-113.72,0.0,bottom
_30,125.87,-70.54,0.0,bottom
_29,125.87,-73.08,0.0,bottom
_28,125.87,-118.8,0.0,bottom
_27,135.66,-119.47,180.0,bottom
_26,145.45,-73.08,0.0,bottom
_25,138.2,-119.47,180.0,bottom
_24,145.45,-118.8,0.0,bottom
_23,145.45,-103.56,0.0,bottom
_22,125.87,-101.02,0.0,bottom
_21,145.45,-85.78,0.0,bottom
_20,125.87,-106.1,0.0,bottom
_19,125.87,-75.62,0.0,bottom
_18,125.87,-85.78,0.0,bottom
_17,125.87,-103.56,0.0,bottom
_16,145.45,-101.02,0.0,bottom
_15,145.45,-95.94,0.0,bottom
_14,145.45,-98.48,0.0,bottom
_13,125.87,-116.26,0.0,bottom
_12,125.87,-93.4,0.0,bottom
_11,133.12,-119.47,180.0,bottom
_10,125.87,-80.7,0.0,bottom
_9,145.45,-113.72,0.0,bottom
_8,125.87,-111.18,0.0,bottom
_7,145.45,-75.62,0.0,bottom
_6,145.45,-108.64,0.0,bottom
_5,145.45,-111.18,0.0,bottom
_4,145.45,-106.1,0.0,bottom
_3,145.45,-116.26,0.0,bottom
_2,125.87,-95.94,0.0,bottom
,145.45,-80.7,0.0,bottom
C1,140.54,-77.43,0.0,top
C10,136.06,-104.535,90.0,top
C11,141.343008,-93.901992,225.0,top
C12,139.74,-88.81,270.0,top
C13,138.28,-90.1,270.0,top
C14,129.286992,-97.656992,315.0,top
C15,136.82,-90.1,270.0,top
C16,137.015,-107.495,90.0,top
C17,141.445,-88.795,270.0,top
C18,140.428249,-92.381751,225.0,top
C19,140.286751,-92.538249,315.0,bottom
C2,136.355,-80.94,90.0,bottom
C20,131.7,-92.51,270.0,bottom
C3,140.525,-84.8,270.0,top
C4,130.421992,-79.016992,315.0,top
C5,130.746751,-76.921751,315.0,top
C6,140.48083,-109.928948,110.0,top
C7,135.324411,-106.989411,135.0,top
C8,133.41,-104.31,270.0,top
C9,141.828008,-99.128008,135.0,top
D1,141.935,-74.04,90.0,top
L1,142.33,-80.545,270.0,top
LED1,129.195,-71.05,270.0,top
Q1,140.775,-107.655,90.0,top
R1,133.995,-72.905,90.0,bottom
R10,129.165,-73.905,90.0,top
R11,134.6,-104.545,90.0,top
R12,136.82,-87.14,90.0,top
R13,138.28,-87.14,90.0,top
R14,139.864376,-95.015624,315.0,bottom
R15,140.916637,-96.716637,225.0,bottom
R2,136.91,-72.905,90.0,bottom
R3,133.415,-78.245,270.0,top
R4,134.875,-78.25,90.0,top
R5,136.82,-84.18,90.0,top
R6,137.51,-77.63,270.0,top
R7,130.765,-109.385,90.0,top
R8,138.69,-107.7125,270.0,top
R9,138.16,-110.12,180.0,top
SW1,131.83,-113.99,90.0,top
U1,139.025,-80.74,180.0,top
U2,133.1075,-84.95,270.0,top
U3,135.7,-97.115,0.0,top
USB1,135.66,-72.7025,180.0,top
X1,133.973212,-108.81868,305.0,top
